Comment,Designator,Footprint,LCSC,Quantity
1.5k,"R33,R34",R_0402_1005Metric,C25867,2
100R,"R1,R3",R_0402_1005Metric,C25076,2
100k,R16,R_0402_1005Metric,C25741,1
100m,"R24,R25",R_1206_3216Metric,C25334,2
100n,C8,C_0603_1608Metric,C14663,1
100n,"C11,C12,C13,C14,C2,C4,C5,C6,C7",C_0402_1005Metric,C307331,9
10k,"R10,R11,R15,R2,R20,R21,R22,R27,R28,R29,R30,R31,R32,R35,R37,R39,R4,R40,R5,R8",R_0402_1005Metric,C25744,20
10u,C3,C_0603_1608Metric,C96446,1
15u,L1,L_APV_ANR5040,C167969,1
2.2k,"R12,R23,R26,R9",R_0402_1005Metric,C25879,4
2.2u,C1,C_0805_2012Metric,C377773,1
20k,"R36,R38,R41,R42",R_0402_1005Metric,C25765,4
22u,"C10,C9",C_0805_2012Metric,C45783,2
24k,R17,R_0402_1005Metric,C25769,1
3.3V,D8,D_SOD-523,C19077462,1
3.3k,"R13,R14",R_0402_1005Metric,C25890,2
33k,"R6,R7",R_0402_1005Metric,C25779,2
AMBER,D7,LED_0603_1608Metric,C2296,1
AO3401A,Q3,SOT-23,C15127,1
AONR21357,"Q2,Q5",DFN_3.3x3.3,C431196,2
BTN_0,SW3,SW_SPST_TS-1088-xR020,C720477,1
BTN_1,SW4,SW_SPST_TS-1088-xR020,C720477,1
DRV8848,U1,TSSOP-16-1EP_4.4x5mm_P0.65mm,C131079,1
GREEN,D6,LED_0603_1608Metric,C2297,1
INA180A2,"U13,U14",SOT-23-5,C192764,2
ITR8307-S17-TR8,"U15,U16",Everlight_ITR1201SR10AR,C81632,2
LIS3DH,U11,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134,1
LM393,U12,SOIC-8_3.9x4.9mm_P1.27mm,C7955,1
LMR50410,U2,SOT-23-6,C2841056,1
RED,"D2,D4,D5",LED_0603_1608Metric,C2286,3
WHITE,"D1,D3",LED_0603_1608Metric,C2290,2
