Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0805_2012Metric,106.4,-84.3,90.0,top
C10,22u,C_0805_2012Metric,123.2,-83.3,180.0,top
C11,100n,C_0402_1005Metric,82.0,-56.8,180.0,top
C12,100n,C_0402_1005Metric,83.35,-87.625,-90.0,top
C13,100n,C_0402_1005Metric,83.35,-83.525,-90.0,top
C14,100n,C_0402_1005Metric,91.4,-80.8,0.0,top
C2,100n,C_0402_1005Metric,107.3,-88.3,-90.0,top
C3,10u,C_0603_1608Metric,106.1,-88.3,-90.0,top
C4,100n,C_0402_1005Metric,91.42,-78.8,0.0,top
C5,100n,C_0402_1005Metric,73.5,-96.4,-90.0,top
C6,100n,C_0402_1005Metric,61.7,-75.475,-90.0,top
C7,100n,C_0402_1005Metric,141.7,-53.1,-90.0,top
C8,100n,C_0603_1608Metric,117.3,-84.9,90.0,top
C9,22u,C_0805_2012Metric,108.5,-84.3,-90.0,top
D1,WHITE,LED_0603_1608Metric,78.3,-98.0125,90.0,top
D2,RED,LED_0603_1608Metric,79.8,-98.0125,-90.0,top
D3,WHITE,LED_0603_1608Metric,114.2,-98.0,90.0,top
D4,RED,LED_0603_1608Metric,115.7,-98.0,-90.0,top
D5,RED,LED_0603_1608Metric,55.7125,-73.8,0.0,top
D6,GREEN,LED_0603_1608Metric,55.7,-77.6,0.0,top
D7,AMBER,LED_0603_1608Metric,55.7,-75.7,0.0,top
D8,3.3V,D_SOD-523,115.9,-56.7,90.0,top
JP1,THR_SRC,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,75.7,-81.7,0.0,top
L1,15u,L_APV_ANR5040,113.7,-84.9,180.0,top
Q2,AONR21357,DFN_3.3x3.3,126.45,-93.525,90.0,top
Q3,AO3401A,SOT-23,95.6,-56.1,90.0,top
Q5,AONR21357,DFN_3.3x3.3,126.45,-97.375,-90.0,top
R1,100R,R_0402_1005Metric,55.1,-62.1,180.0,top
R10,10k,R_0402_1005Metric,73.5,-94.5,-90.0,top
R11,10k,R_0402_1005Metric,61.7,-73.575,-90.0,top
R12,2.2k,R_0402_1005Metric,58.2125,-73.8,180.0,top
R13,3.3k,R_0402_1005Metric,58.2,-77.6,180.0,top
R14,3.3k,R_0402_1005Metric,58.21,-75.7,180.0,top
R15,10k,R_0402_1005Metric,123.1,-95.9,180.0,top
R16,100k,R_0402_1005Metric,118.4,-87.0,0.0,top
R17,24k,R_0402_1005Metric,120.3,-87.0,0.0,top
R2,10k,R_0402_1005Metric,129.7,-56.5,90.0,top
R20,10k,R_0402_1005Metric,77.8,-57.9,90.0,top
R21,10k,R_0402_1005Metric,86.3,-58.6,90.0,top
R22,10k,R_0402_1005Metric,121.6,-81.8,0.0,top
R23,2.2k,R_0402_1005Metric,123.5,-81.8,0.0,top
R24,100m,R_1206_3216Metric,93.6,-84.3,180.0,top
R25,100m,R_1206_3216Metric,93.6,-87.8,180.0,top
R26,2.2k,R_0402_1005Metric,132.2,-52.6,-90.0,top
R27,10k,R_0402_1005Metric,54.5,-88.75,90.0,top
R28,10k,R_0402_1005Metric,69.45,-83.85,45.0,top
R29,10k,R_0402_1005Metric,73.65,-56.3,0.0,top
R3,100R,R_0402_1005Metric,131.7,-56.5,-90.0,top
R30,10k,R_0402_1005Metric,123.75,-56.2,0.0,top
R31,10k,R_0402_1005Metric,130.25,-90.0,-45.0,top
R32,10k,R_0402_1005Metric,139.75,-96.0,-90.0,top
R33,1.5k,R_0402_1005Metric,91.42,-77.8,0.0,top
R34,1.5k,R_0402_1005Metric,91.42,-79.8,180.0,top
R35,10k,R_0402_1005Metric,137.1,-83.1,90.0,top
R36,20k,R_0402_1005Metric,138.1,-83.1,-90.0,top
R37,10k,R_0402_1005Metric,136.1,-83.1,90.0,top
R38,20k,R_0402_1005Metric,135.1,-83.1,-90.0,top
R39,10k,R_0402_1005Metric,132.1,-83.1,90.0,top
R4,10k,R_0402_1005Metric,57.0,-62.1,180.0,top
R40,10k,R_0402_1005Metric,133.1,-83.1,90.0,top
R41,20k,R_0402_1005Metric,131.1,-83.1,-90.0,top
R42,20k,R_0402_1005Metric,134.1,-83.1,-90.0,top
R5,10k,R_0402_1005Metric,101.2,-82.6,180.0,top
R6,33k,R_0402_1005Metric,79.05,-96.0125,180.0,top
R7,33k,R_0402_1005Metric,114.95,-96.0,180.0,top
R8,10k,R_0402_1005Metric,130.7,-56.5,-90.0,top
R9,2.2k,R_0402_1005Metric,131.2,-52.6,-90.0,top
SW3,BTN_0,SW_SPST_TS-1088-xR020,75.8,-96.525,90.0,top
SW4,BTN_1,SW_SPST_TS-1088-xR020,64.0,-75.6,90.0,top
U1,DRV8848,TSSOP-16-1EP_4.4x5mm_P0.65mm,101.265,-86.0425,0.0,top
U11,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,139.2875,-54.4,0.0,top
U12,LM393,SOIC-8_3.9x4.9mm_P1.27mm,82.0,-60.1,0.0,top
U13,INA180A2,SOT-23-5,85.6,-83.4625,90.0,top
U14,INA180A2,SOT-23-5,85.6,-87.6125,90.0,top
U15,ITR8307-S17-TR8,Everlight_ITR1201SR10AR,60.0,-58.0,0.0,top
U16,ITR8307-S17-TR8,Everlight_ITR1201SR10AR,63.8,-58.0,0.0,top
U2,LMR50410,SOT-23-6,119.7375,-84.4,90.0,top
